-0.920788 1.506438 0.6209977|-0.175585 1.232383 0.6456667|-1.701166 1.200735 0.6307256|-0.9052165 0.9337215 0.4763269|-0.8833339 0.0219357 0.6423758|-1.051429 0.02047324 0.6182033
-0.9208152 1.506458 0.6211615|-0.1755435 1.232942 0.6454219|-1.701257 1.201107 0.6307238|-0.9051979 0.9336766 0.4764426|-0.8833206 0.02202177 0.6424212|-1.051422 0.0204289 0.6181806
-0.92084 1.506486 0.6212792|-0.1754324 1.233578 0.6447635|-1.701508 1.201557 0.6306008|-0.905215 0.9336246 0.4765896|-0.8833339 0.02199507 0.6424773|-1.051434 0.0204103 0.6181631
-0.9208724 1.506431 0.6214436|-0.175338 1.233932 0.6445844|-1.701705 1.202013 0.6301577|-0.9052923 0.9335207 0.4768082|-0.8833692 0.02193356 0.6425594|-1.051247 0.02042556 0.6183892
-0.9209507 1.50633 0.6215359|-0.1751845 1.234503 0.6442089|-1.701867 1.202745 0.6294521|-0.9052622 0.9335309 0.4769739|-0.883323 0.02198911 0.6426113|-1.051242 0.02041316 0.6183914
-0.9209869 1.506274 0.6216174|-0.1751411 1.2351 0.6439848|-1.70206 1.203386 0.6289824|-0.9054215 0.9334803 0.4771821|-0.8833106 0.02201486 0.6426749|-1.05128 0.0203979 0.6184542
-0.9210503 1.506179 0.6216824|-0.1751626 1.235726 0.6438156|-1.702317 1.204131 0.628131|-0.9054887 0.933391 0.4773142|-0.8833215 0.02198339 0.6426558|-1.051256 0.02037239 0.6184512
-0.9210937 1.506114 0.6217445|-0.1751168 1.236325 0.643555|-1.702534 1.204714 0.6274312|-0.9054806 0.9332693 0.4774485|-0.8833492 0.02196312 0.6427225|-1.051347 0.0202744 0.618416
-0.9211605 1.506051 0.6217698|-0.1751926 1.236909 0.6431259|-1.702638 1.20515 0.6269706|-0.905421 0.933243 0.4775048|-0.8834083 0.02189898 0.6426911|-1.051428 0.0203228 0.6182762
-0.92117 1.506038 0.6218511|-0.175123 1.237545 0.6428169|-1.702796 1.205659 0.6264819|-0.9054334 0.9331949 0.4776541|-0.8834465 0.02181435 0.6425506|-1.051449 0.02029753 0.618264
-0.9211919 1.506034 0.6219579|-0.1750886 1.238364 0.6423136|-1.702541 1.205861 0.6261872|-0.9054735 0.9332347 0.4778384|-0.8833792 0.02195191 0.6425307|-1.051376 0.0204041 0.618347
-0.9212043 1.506046 0.6220341|-0.1750481 1.239065 0.6419716|-1.702632 1.20622 0.6257935|-0.9054945 0.9331975 0.4779596|-0.8833597 0.02192569 0.642558|-1.05139 0.02038336 0.618333
-0.9212358 1.506055 0.6220855|-0.1748607 1.239841 0.6416584|-1.702719 1.206427 0.6256263|-0.905484 0.9330989 0.4781566|-0.8833706 0.02201486 0.6425345|-1.051426 0.02037048 0.6183838
-0.9211986 1.506079 0.6221226|-0.1745589 1.240656 0.6412435|-1.702683 1.206742 0.6254184|-0.9054935 0.9330652 0.4782537|-0.8833663 0.02200866 0.6425394|-1.051408 0.02040362 0.6182988
-0.9212315 1.506086 0.6221985|-0.1742876 1.241375 0.6407415|-1.702783 1.206832 0.6253353|-0.9054439 0.9330312 0.478407|-0.8834136 0.02196455 0.642455|-1.051415 0.02036977 0.618293
-0.9212573 1.506126 0.6222671|-0.1739767 1.242303 0.6401068|-1.702743 1.207025 0.6251396|-0.9053895 0.933037 0.4785185|-0.8833807 0.02199173 0.6424371|-1.051359 0.02041364 0.6182865
-0.9212768 1.506134 0.6223373|-0.1734283 1.2432 0.6393272|-1.702704 1.2069 0.6254305|-0.9054558 0.933032 0.4786531|-0.8833768 0.0219605 0.6424567|-1.051368 0.02039742 0.6182872
-0.9213393 1.50616 0.6224546|-0.1731207 1.244185 0.6384444|-1.702677 1.20676 0.6257854|-0.9054897 0.932994 0.4788315|-0.8833959 0.02187753 0.6425133|-1.051348 0.02039909 0.6183577
-0.9213941 1.506114 0.6225412|-0.172652 1.245363 0.6372095|-1.702557 1.206184 0.6270045|-0.9055364 0.9329454 0.4790751|-0.8833439 0.02201557 0.6425328|-1.051355 0.02038264 0.6183747
-0.9213769 1.506085 0.6226114|-0.1723478 1.246546 0.6365089|-1.702516 1.205796 0.6278548|-0.9055965 0.9329338 0.4792497|-0.8834121 0.02194643 0.6426015|-1.051358 0.0203476 0.6183871
-0.9213779 1.506099 0.6226814|-0.1719334 1.247385 0.6359162|-1.702675 1.205384 0.6285809|-0.905607 0.932893 0.4794403|-0.8833702 0.02195811 0.642589|-1.051279 0.02043247 0.6184021
-0.9214046 1.506088 0.6228112|-0.1715748 1.248202 0.6354554|-1.703001 1.20525 0.6288731|-0.9056332 0.9328403 0.4795865|-0.8833587 0.02195215 0.6425288|-1.051232 0.02041411 0.6183548
-0.9214189 1.506081 0.6228982|-0.171098 1.248923 0.6350293|-1.703527 1.205247 0.6280401|-0.9056141 0.9328219 0.4798362|-0.883311 0.02203608 0.6425114|-1.051162 0.02038002 0.6184434
-0.9214418 1.506045 0.6230496|-0.1705043 1.249626 0.6344627|-1.70403 1.205275 0.6268935|-0.905597 0.9328138 0.4799569|-0.8833444 0.0220468 0.642416|-1.051161 0.0203371 0.6184478
