0.2687902 -0.1338013 -0.04539502 -0.9527794|-0.03948574 0.6284454 -0.07993034 0.7727278|-0.1839529 -0.6617315 0.2399493 0.6860737|-0.1561626 0.9770825 -0.1008105 0.1037317|-0.6927081 -0.08530615 -0.05726301 0.7138623|-0.6794958 -0.04427946 0.05170735 0.7305143
0.2687534 -0.133772 -0.04536199 -0.9527954|-0.0403991 0.6285518 -0.07937898 0.7726511|-0.1848047 -0.6618272 0.2377411 0.6865211|-0.1561975 0.9770749 -0.1009719 0.1035942|-0.6926681 -0.08534005 -0.05723697 0.7138991|-0.6794806 -0.04430339 0.0517462 0.7305242
0.2688424 -0.1337967 -0.04528892 -0.9527703|-0.04166739 0.628778 -0.07865132 0.772474|-0.1860937 -0.6629845 0.2349182 0.6860277|-0.1562967 0.9770561 -0.1011789 0.1034189|-0.6926956 -0.08533018 -0.05721027 0.7138757|-0.6794879 -0.04431188 0.05176658 0.7305155
0.2688808 -0.1337813 -0.04504069 -0.9527733|-0.04294022 0.628979 -0.07842811 0.7722633|-0.1876722 -0.664449 0.2320397 0.68516|-0.1562844 0.9770656 -0.1012897 0.1032396|-0.692673 -0.08531512 -0.05709822 0.7139086|-0.6794596 -0.04428352 0.05171943 0.7305468
0.2686636 -0.1338064 -0.04500023 -0.9528331|-0.04501598 0.6293902 -0.07847042 0.7718056|-0.1902443 -0.6668712 0.2281441 0.6834034|-0.1563303 0.9770742 -0.1012334 0.1031441|-0.6925943 -0.08531681 -0.05715176 0.7139803|-0.6794568 -0.04432657 0.05164216 0.7305524
0.268472 -0.1337852 -0.04509292 -0.9528856|-0.04632645 0.6298815 -0.07787617 0.7713874|-0.192407 -0.6686345 0.2244781 0.6822881|-0.1563717 0.9770809 -0.1012037 0.1030472|-0.6927106 -0.08535002 -0.05717363 0.7138618|-0.6794668 -0.04429687 0.05170915 0.73054
0.2683058 -0.1337409 -0.04519178 -0.952934|-0.04803083 0.6299337 -0.07776067 0.7712522|-0.1946286 -0.6709161 0.220646 0.6806663|-0.1564228 0.9770912 -0.1012168 0.1028589|-0.6926704 -0.08530286 -0.05714261 0.7139089|-0.6794441 -0.04428148 0.05169525 0.7305632
0.2680804 -0.133745 -0.04538468 -0.9529877|-0.04969244 0.6299852 -0.07759137 0.7711218|-0.1971333 -0.67261 0.2184078 0.6789936|-0.1564693 0.9770724 -0.1014946 0.1026928|-0.6926472 -0.08535573 -0.05716015 0.7139237|-0.6794775 -0.04434174 0.05165338 0.7305313
0.2680045 -0.1337511 -0.04540124 -0.9530074|-0.05220187 0.6302565 -0.07818068 0.7706747|-0.1998531 -0.6734884 0.2178467 0.6775065|-0.1565 0.9770597 -0.1017159 0.1025474|-0.6926024 -0.08540097 -0.0571241 0.7139646|-0.6794893 -0.04427738 0.05166878 0.7305233
0.2679399 -0.1338369 -0.0454723 -0.9530101|-0.05438763 0.6304707 -0.07855269 0.7703105|-0.2023802 -0.6742375 0.2172188 0.6762115|-0.1565219 0.9770738 -0.1017911 0.1023052|-0.6926319 -0.08541085 -0.05711925 0.7139351|-0.6795222 -0.04435098 0.05170312 0.7304857
0.2682149 -0.1340244 -0.04559558 -0.9529005|-0.05685942 0.6303508 -0.07866175 0.770219|-0.2050679 -0.6746234 0.2177739 0.6748371|-0.1566047 0.977079 -0.1018853 0.1020345|-0.692668 -0.08539815 -0.05717082 0.7138976|-0.6795142 -0.04430249 0.05167667 0.7304981
0.2683702 -0.1341151 -0.04579439 -0.9528345|-0.05889402 0.6301771 -0.07846553 0.7702281|-0.2081308 -0.6748478 0.2185907 0.6734094|-0.1567629 0.9770778 -0.1019869 0.1017007|-0.6926431 -0.08537025 -0.05716453 0.7139255|-0.6794948 -0.0443125 0.05166521 0.7305163
